Data de conclusão|Tipo de recurso|Escala
31/12/2022|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
30/12/2022|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
27/11/2015|SCN Carta Topografica Matricial|25000
01/01/1984|SCN Carta Topografica Matricial|25000
03/06/2016|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/06/2016|SCN Carta Topografica Matricial|25000
02/06/2016|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/01/1989|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1983|SCN Carta Topografica Matricial|25000
01/01/1983|SCN Carta Topografica Matricial|25000
13/11/2015|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
30/12/2022|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
27/11/2015|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1984|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
27/11/2015|SCN Carta Topografica Matricial|25000
13/11/2015|SCN Carta Topografica Matricial|25000
02/06/2016|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1992|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/01/2000|SCN Carta Topografica Matricial|25000
01/01/1983|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
30/12/2022|SCN Carta Topografica Matricial|25000
27/11/2015|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
30/12/2022|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1984|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
13/11/2015|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/01/1980|SCN Carta Topografica Matricial|25000
01/01/1982|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
31/12/2022|SCN Carta Topografica Matricial|25000
01/01/1981|SCN Carta Topografica Matricial|25000
01/11/2009|SCN Carta Topografica Matricial|25000
